K2CallSign,OfficialCallSign,QTH,DMR_ID
"Борщ","UR3QRX","Черепанова гора","null"
"Емі","UT3USZ","Багринова гора","2550607"
"Test","null","null","null"
"139","UR4USD","м. Вишневе","null"
"539","UT3UUN","м.Васильківська","2550637"
"Мамай","UR4USG","Віта-Поштова","null"
"840-stealth","UR5GCQ","Obolon","2550557"
"Татарка","UT3UAQ","Киев (Татарка)","null"
"Ніж 🔪","null","Лук'янівка\Харківська","null"
"XYZ","null","м. Київ, Голосіївський р-н.","null"
"Будулай","UT3UTZ","борщаговка(кольцова)","null"
"Діггер","UT3UTX","Виноградар","null"
"Magnus","null","Гатне","null"
"119","UR4URX","Софіївська Борщагівка","null"
"Ні","null","Дегтярівська","null"
"Ютей4","null","Теремки2 (Іподром)","null"
"Жокей","null","Теремки2 (Іподром)","null"
"Барсук","UT3UVU","Осокорки","null"
"Fiksik","null","null","null"
"Хромоль","null","Батиєва гора / Академ","null"
"black cat","null","Святопетрівске","null"
"Механик","UT3UVE","Киев, Троещина","null"
"calabr","null","Академмістечко","null"
"Inspektor","null","Оболонь (Дрим Таун 1)","null"
"14","null","Київ, Позняки","null"
"Удав","UR4USO","Біла Церква","2550640"
"Птаха","null","Виноградар","null"
"Аргон","UR4UNF","м.Буча","null"
"Ботул","UT3UTF","м. Київ","2550575"
"Блокнот","UT3UUA","Позняки. KO50HJ","null"
"Буран","null","Райдужна","null"
"117","UT3UTK","Деміївська","2550652"
"Оптик","UT3UVH","Оболонь (набережна біля церкви)","null"
"Irpin","null","Irpin","null"
"24","UT5UTF","Нові Петрівці","2550662"
"Rius","UT3UTS","Kyiv, Left-bank Ukraine","2550604"
"Енот","UT3UUE","Виноградарь","2550669"
"Довжик","UR4USB","Чабани","2550671"
"Геркулес","null","Калинівка (Васильків)","null"
"Моб","UT3UUL","м. Нивки","null"
"Саман","null","Троя","null"
"Bольт","null","м. Вишневе","null"
"Stanislav","null","Київ, Виноградар","null"
"Gorodecky","null","Солом'янка","null"
"Лідер","UT0UK","Осокорки (Дачі)","2550372"
"Amator","null","null","null"
"Кайрос","null","м.Позняки","null"
"Бетон","null","ТЦ Магелан; м.Тараса Шевченко","null"
"Електрик","null","Київ, троєщина","null"
"Князь+","null","Святошино","null"
"Atlantic","UR4CTA","Академ Дачна","null"
"Саня","UR4USJ","м.Березань","null"
"Олежан","UT3UTY","Півд.Борщагівка","2550617"
"Радар","UT4UHY","Вітряні Гори (Віноградар) KO50FM","2550597"
"333","null","Ворзель","null"
"131","UT3UPY","Печерськ / Обухівський р-н","2550456"
"Свобода","UT3USF","Троєщина","2550527"
"Квадрат","UR4USE","г.Обухов","2550593"
"1845","UT3UOK","Виноградарь","2550405"
"Reanimator","UT3UTD","Солома","2550625"
"Spider","UR5TIV","Площа Шевченка","2550212"
"Кобра🐍","UR4USH","ЖК Софія","2550629"
"Джимі","UR4USP","с. Вишеньки","2550634"
"212","UR5GQF","м. Позняки","null"
"houdini","null","null","null"
"Трой","null","нивки м. Київ","null"
"321","null","null","null"
"КАРТЕЛЬ","null","Лівобережна (Дніпровський район)","null"
"7777","null","null","null"
"Кролик","null","Глеваха","null"
"ALF","null","Поділ","null"
"511","null","null","null"
"TOHHA","null","Віта-Поштова","null"
"Липень","null","Нивки","null"
"Кодер","UT3UVI","м. Київ, метро Харківська","2550684"
"Жаба пепе","null","Позняки","null"
"Каштан","null","Південна Борщагівка","null"
"Bax (Бакс)","UR4URV","Brovary","2550638"
"Chubaka","null","м. Київ, Подільський р-он","null"
"WolFix","null","Чабани","null"
"Сервер","UR7HNF","Нивки","2550646"
"699","UT5URY","Боярка ( р-н компрессорной)","2550682"
"85","UR5KAC","Чабани","2550683"
"168","null","м. Політехнічний інститут","null"
"8888","null","Київ","null"
"Золото","null","Метро Сырец","null"
"xeon","UT3UVM","Дніпровський район","2550666"
"Мікробіом","null","Київ, пл.Космонавтів","null"
"Botanika","UT3UPV","null","2550569"
"Хаски","UT3UUS","Оболонь","2550639"
"null","null","null","null"
"Турист","UT3UUY","KO50FM","2550661"
"Bereza","UR4USX","Калинівка (Фастівський р-н)","2550660"
"Пасічник","null","Шулявка","null"
"Вал","null","Мінський масив","null"
"Poligon","UT3URA","KO50","2550524"
"BERLIN","UT3UVF","Київ","null"
"Fiber","UT3UVK","Харьковский","null"
"Frost","null","null","null"
"Santiago","null","null","null"
"Кураш","null","null","null"
"Sukhov","null","null","null"
"Магніт","null","КПІ","null"
"771","NE4MAE","ВДНГ","null"
"Цитадель","null","Деснянський р-н","null"
"Husker","null","Obolon","null"
"Технік","UT3UUG","Інститут газу, вул.Дегтярівська","2550633"
